pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
1,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,38,0.871393,6.679716,-0.006547,0,3.7633334,16.72275335,5,NA,NA,NA
1_Reding,Reding,Lynx_rufus,mammal,34.75524,-93.49529,averagedindividualcoords,32,0.755998,4.535325,0.044769,0,6.799999873,20.88222222,15,180.7,66.9,NA
10,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,110,0.881178,6.71633,-0.00242,0,10.94999981,29.58959538,5,84.1,26.6,NA
10_Reding,Reding,Lynx_rufus,mammal,46.32069,-103.09493,averagedindividualcoords,29,0.747269,4.507524,0.054056,0,1.039999962,10.03977273,15,51.4,31.1,116.3
11,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,50,0.869453,6.572732,0.003936,0,5.110000134,34.87763713,5,NA,166.4,NA
11_Reding,Reding,Lynx_rufus,mammal,34.34591,-107.40565,averagedindividualcoords,14,0.766156,4.877495,0.011963,0,1.039999962,7.503386005,15,NA,62.9,NA
12,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,38,0.868769,6.721116,-0.008837,0,17.11750054,25.81128405,5,23.9,2.8,NA
12_Reding,Reding,Lynx_rufus,mammal,31.79925,-94.6632,averagedindividualcoords,14,0.758324,4.846449,0.021286,0,17.58333302,26.74186047,15,NA,52.4,NA
13,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,54,0.868102,6.557831,0.002982,0,1.807500005,15.30919765,5,124.5,12.9,NA
13_Reding,Reding,Lynx_rufus,mammal,30.79219,-84.13753,averagedindividualcoords,31,0.74449,4.570204,0.058944,1,30.25999928,26.7587822,15,780.8,85.5,NA
14,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,62,0.854773,6.379836,0.02129,0,2.569999933,16.0234375,5,11.6,3,49.1
14_Reding,Reding,Lynx_rufus,mammal,41.1427,-93.79712,averagedindividualcoords,111,0.75699,4.402711,0.054349,0,4.102500081,34.24948025,15,3237.4,386.4,NA
15,Johnson,Myotis_septentrionalis,mammal,NA,NA,coordinates,40,0.862894,6.542479,0.004217,0,15.17000008,30.46346154,5,3068.4,19.4,NA
15_Reding,Reding,Lynx_rufus,mammal,38.34292,-89.28878,averagedindividualcoords,20,0.7292,4.423018,0.067693,1,27.46333345,50.76077586,15,127.1,33.6,NA
16_Reding,Reding,Lynx_rufus,mammal,38.69512,-86.77267,averagedindividualcoords,32,0.706684,4.227335,0.10718,0,10.56500006,29.74089936,15,92.4,45.4,706.1
